time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10,2448	1,39063	5,17971	0,229813	0,176409	radar	1315,02	10,5377	1,72555	10,1117	1,37011	4,97074	1,20841
1477010444900000	10,4846	1,45431	5,16927	0,2405	0,178285	lidar	681,849	10,2492	1,45907	10,3598	1,4321	4,95106	1,2701
1477010444950000	10,7104	1,55606	5,02252	0,267558	0,197371	radar	1378,09	10,9084	1,70343	10,6069	1,49721	4,93014	1,33298
1477010445000000	10,9434	1,60288	5,01074	0,270427	0,191021	lidar	746,285	10,7313	1,45265	10,853	1,56549	4,90794	1,39701
1477010445050000	11,2202	1,62431	5,07284	0,260664	0,172373	radar	1525,56	11,4783	1,42876	11,0979	1,637	4,8844	1,46213
1477010445100000	11,4712	1,67861	5,07635	0,264691	0,168138	lidar	871,112	11,587	1,61462	11,3416	1,71179	4,85948	1,52832
1477010445150000	11,6908	1,71487	5,01159	0,264512	0,161127	radar	1512,81	11,4763	1,53917	11,584	1,78992	4,83313	1,59551
1477010445200000	11,9251	1,77846	5,00455	0,272012	0,160694	lidar	902,542	11,7788	1,74591	11,8251	1,87144	4,80531	1,66366
1477010445250000	12,1794	1,89383	5,1031	0,293742	0,171751	radar	1730,54	12,136	2,14937	12,0647	1,95639	4,77598	1,73273
1477010445300000	12,4208	1,94376	5,09433	0,294076	0,164416	lidar	986,889	12,3226	1,78353	12,3029	2,04482	4,74508	1,80265
1477010445350000	12,6754	1,98362	5,15975	0,288333	0,150709	radar	1809,97	12,5457	1,77728	12,5394	2,13677	4,71257	1,87338
1477010445400000	12,9043	2,08039	5,15005	0,304582	0,158584	lidar	1039,61	12,5924	2,17509	12,7743	2,23227	4,67842	1,94485
1477010445450000	13,1716	2,22798	5,27254	0,331843	0,17396	radar	2052,16	13,2198	2,6644	13,0075	2,33137	4,64258	2,01701
1477010445500000	13,4022	2,33474	5,26253	0,348364	0,181026	lidar	1127,36	13,0875	2,40708	13,2388	2,43409	4,605	2,08981
1477010445550000	13,5317	2,54137	5,05617	0,408461	0,230867	radar	1907,41	12,7087	3,12439	13,4682	2,54047	4,56565	2,16317
1477010445600000	13,7666	2,63873	5,05826	0,418302	0,229332	lidar	1262,73	13,836	2,62479	13,6955	2,65053	4,52448	2,23703
1477010445650000	13,9777	2,74521	5,02088	0,433141	0,233261	radar	2183,18	13,8302	2,73893	13,9208	2,7643	4,48147	2,31134
1477010445700000	14,2028	2,86565	5,02495	0,449355	0,237246	lidar	1340,9	14,2106	2,94205	14,1439	2,88179	4,43656	2,38601
1477010445750000	14,4629	2,9573	5,13094	0,448188	0,2223	radar	2424,48	14,5568	2,87021	14,3646	3,00303	4,38974	2,46099
1477010445800000	14,6853	3,0496	5,11518	0,453773	0,217579	lidar	1385,45	14,4616	2,90734	14,583	3,12802	4,34097	2,5362
1477010445850000	14,9036	3,25912	5,19914	0,493557	0,24082	radar	2561	14,6754	3,96041	14,7989	3,25679	4,29021	2,61157
1477010445900000	15,1227	3,40605	5,20232	0,51347	0,2477	lidar	1515,94	15,0261	3,5067	15,0122	3,38932	4,23744	2,68703
1477010445950000	15,3249	3,60901	5,15537	0,554649	0,275896	radar	2759,71	15,3685	4,14761	15,2228	3,52563	4,18263	2,76249
1477010446000000	15,5392	3,76024	5,15983	0,573115	0,279931	lidar	1627,82	15,5236	3,82936	15,4306	3,66572	4,12575	2,83789
1477010446050000	15,753	3,84864	5,11689	0,572261	0,268051	radar	2798,12	15,7234	3,4105	15,6355	3,80957	4,06678	2,91315
1477010446100000	15,9668	3,99021	5,11803	0,586151	0,268463	lidar	1727,41	15,9774	4,00094	15,8375	3,95719	4,00571	2,98817
1477010446150000	16,1636	4,14528	5,02927	0,610343	0,282487	radar	3058,65	16,3376	4,21632	16,0363	4,10854	3,94251	3,0629
1477010446200000	16,361	4,31763	5,03974	0,633247	0,289951	lidar	1824,1	16,3313	4,44499	16,2319	4,26363	3,87716	3,13723
1477010446250000	16,581	4,46689	5,06538	0,644129	0,286003	radar	3244,79	16,7586	4,48231	16,4242	4,42242	3,80966	3,21109
1477010446300000	16,7702	4,63543	5,0658	0,664369	0,29108	lidar	1894,53	16,6039	4,67344	16,613	4,5849	3,74	3,28438
1477010446350000	16,9123	4,83429	4,89731	0,709967	0,328008	radar	3341,81	16,9236	5,10119	16,7983	4,75103	3,66817	3,35704
1477010446400000	17,0824	5,03528	4,91397	0,739603	0,339101	lidar	2012,18	16,9955	5,21099	16,9799	4,92077	3,59416	3,42897
1477010446450000	17,2616	5,15246	4,84775	0,745589	0,332655	radar	3439,9	17,3421	4,64623	17,1579	5,09409	3,51797	3,50008
1477010446500000	17,4247	5,34362	4,85644	0,771202	0,340131	lidar	2091,57	17,2894	5,43542	17,3319	5,27094	3,4396	3,57028
1477010446550000	17,5906	5,44783	4,75729	0,775374	0,333615	radar	3550,54	17,6463	4,74597	17,5019	5,45128	3,35907	3,63949
1477010446600000	17,7596	5,61604	4,7585	0,791983	0,333545	lidar	2215,61	17,7853	5,62476	17,6679	5,63506	3,27637	3,70762
1477010446650000	17,9018	5,81469	4,70205	0,825663	0,352825	radar	3827,47	17,9216	6,07151	17,8297	5,82221	3,19151	3,77458
1477010446700000	18,0555	6,01611	4,72135	0,851129	0,35915	lidar	2334,57	18,1263	6,16985	17,9872	6,01269	3,10453	3,84027
1477010446750000	18,2036	6,24462	4,76646	0,882101	0,368817	radar	4028,18	18,1245	6,79027	18,1402	6,20641	3,01542	3,90462
1477010446800000	18,3343	6,47429	4,79128	0,915259	0,380722	lidar	2395,56	18,2164	6,66138	18,2888	6,40332	2,92421	3,96753
1477010446850000	18,4639	6,69714	4,79145	0,947169	0,39318	radar	4161,18	18,4022	7,02231	18,4328	6,60333	2,83093	4,0289
1477010446900000	18,6037	6,87357	4,77607	0,961653	0,389105	lidar	2480,13	18,5422	6,76013	18,572	6,80638	2,7356	4,08867
1477010446950000	18,7602	7,0785	4,8382	0,973161	0,377388	radar	4359,01	18,8089	7,24388	18,7064	7,01237	2,63825	4,14672
1477010447000000	18,9146	7,2517	4,82475	0,981345	0,368849	lidar	2661,92	19,1441	7,18344	18,8359	7,22122	2,53893	4,20299
1477010447050000	18,9807	7,45793	4,72572	1,02284	0,395895	radar	4270,41	18,5479	7,4012	18,9604	7,43283	2,43767	4,25737
1477010447100000	19,085	7,69916	4,75349	1,05471	0,405362	lidar	2696,14	19,0138	7,8688	19,0798	7,64712	2,3345	4,3098
1477010447150000	19,2168	7,8866	4,76155	1,06407	0,394048	radar	4615,35	19,3089	7,67375	19,1939	7,86397	2,22949	4,36017
1477010447200000	19,3147	8,11123	4,76925	1,09035	0,399231	lidar	2751,17	19,132	8,12845	19,3028	8,08329	2,12266	4,40842
1477010447250000	19,4052	8,31064	4,77658	1,10684	0,392413	radar	4606,12	19,0239	8,17194	19,4062	8,30497	2,01409	4,45445
1477010447300000	19,5098	8,49849	4,74976	1,12095	0,388307	lidar	2822,28	19,347	8,30741	19,5042	8,5289	1,90381	4,49819
1477010447350000	19,6031	8,69025	4,69492	1,14185	0,394011	radar	4882,8	19,6843	8,35902	19,5966	8,75494	1,7919	4,53956
1477010447400000	19,7206	8,88535	4,68476	1,15275	0,387161	lidar	3050,6	20,0039	8,8906	19,6835	8,983	1,67841	4,57848
1477010447450000	19,782	9,12927	4,66745	1,19039	0,406935	radar	5097,65	19,6061	9,48659	19,7645	9,21294	1,56341	4,61488
1477010447500000	19,8808	9,34805	4,67486	1,20756	0,404368	lidar	3156,38	20,1574	9,45949	19,8398	9,44463	1,44697	4,64869
1477010447550000	19,9098	9,58559	4,62457	1,25225	0,432592	radar	5162,72	19,6163	9,76606	19,9093	9,67795	1,32916	4,67984
1477010447600000	19,9867	9,81158	4,63351	1,27316	0,43194	lidar	3211,82	20,1573	9,90876	19,9728	9,91275	1,21005	4,70826
1477010447650000	20,0183	10,1311	4,76899	1,31124	0,435951	radar	5477,49	19,1911	11,5493	20,0303	10,1489	1,08972	4,73389
